Location,Crop,Year,Site_crop_yr,Rep,Soil,EU,PRE,Yield,Weed_Control
Lancaster,Soybean,2020,LAN_SB_20,1,CCFH,105,N,4991.356916,70
Lancaster,Soybean,2020,LAN_SB_20,1,CCLT,106,N,4708.779891,97
Lancaster,Soybean,2020,LAN_SB_20,1,CT,107,Y,4024.567158,98
Lancaster,Soybean,2020,LAN_SB_20,1,NT,108,Y,4303.240891,97
Lancaster,Soybean,2020,LAN_SB_20,1,CCET,109,Y,4444.117289,98
Lancaster,Soybean,2020,LAN_SB_20,1,CCPT,110,Y,4342.125597,96
Lancaster,Soybean,2020,LAN_SB_20,1,CCFH,111,Y,4409.478743,93
Lancaster,Soybean,2020,LAN_SB_20,1,CCLT,112,Y,4485.995719,99
Lancaster,Soybean,2020,LAN_SB_20,2,NT,201,Y,4646.227631,93
Lancaster,Soybean,2020,LAN_SB_20,2,CCLT,202,N,4770.34098,98
Lancaster,Soybean,2020,LAN_SB_20,2,CCET,203,N,4840.586784,50
Lancaster,Soybean,2020,LAN_SB_20,2,CT,204,Y,4382.92976,99
Lancaster,Soybean,2020,LAN_SB_20,2,CCLT,205,Y,5097.702569,99
Lancaster,Soybean,2020,LAN_SB_20,2,CCPT,206,N,4891.861865,90
Lancaster,Soybean,2020,LAN_SB_20,2,CCET,207,Y,4197.448466,99
Lancaster,Soybean,2020,LAN_SB_20,2,CCFH,208,N,,
Lancaster,Soybean,2020,LAN_SB_20,2,CT,209,N,3895.940393,85
Lancaster,Soybean,2020,LAN_SB_20,2,CCFH,210,Y,4099.019446,98
Lancaster,Soybean,2020,LAN_SB_20,2,NT,211,N,4399.436035,85
Lancaster,Soybean,2020,LAN_SB_20,2,CCPT,212,Y,4943.124967,95
Lancaster,Soybean,2020,LAN_SB_20,3,CCLT,301,N,4795.148677,97
Lancaster,Soybean,2020,LAN_SB_20,3,CCET,302,Y,4687.751965,94
Lancaster,Soybean,2020,LAN_SB_20,3,NT,303,N,4788.664898,45
Lancaster,Soybean,2020,LAN_SB_20,3,CCPT,304,Y,4960.840259,99
Lancaster,Soybean,2020,LAN_SB_20,3,CCPT,305,N,4932.837087,75
Lancaster,Soybean,2020,LAN_SB_20,3,CCFH,306,Y,4758.54426,97
Lancaster,Soybean,2020,LAN_SB_20,3,CCFH,307,N,4705.593024,75
Lancaster,Soybean,2020,LAN_SB_20,3,NT,308,Y,4598.699383,99
Lancaster,Soybean,2020,LAN_SB_20,3,CT,309,Y,4544.255403,99
Lancaster,Soybean,2020,LAN_SB_20,3,CCET,310,N,4799.575254,70
Lancaster,Soybean,2020,LAN_SB_20,3,CT,311,N,4637.561631,79
Lancaster,Soybean,2020,LAN_SB_20,3,CCLT,312,Y,4643.482075,99
Lancaster,Soybean,2020,LAN_SB_20,4,CCPT,401,N,,
Lancaster,Soybean,2020,LAN_SB_20,4,NT,402,Y,4715.286128,97
Lancaster,Soybean,2020,LAN_SB_20,4,CCET,403,Y,4658.069268,90
Lancaster,Soybean,2020,LAN_SB_20,4,CCFH,404,N,4644.054394,75
Lancaster,Soybean,2020,LAN_SB_20,4,CCPT,405,Y,4734.122475,97
Lancaster,Soybean,2020,LAN_SB_20,4,CCLT,406,N,4522.542492,98
Lancaster,Soybean,2020,LAN_SB_20,4,CCLT,407,Y,4626.241407,99
Lancaster,Soybean,2020,LAN_SB_20,4,CCET,408,N,4792.276231,70
Lancaster,Soybean,2020,LAN_SB_20,4,NT,409,N,4783.295063,65
Lancaster,Soybean,2020,LAN_SB_20,4,CT,410,Y,4404.897202,96
Lancaster,Soybean,2020,LAN_SB_20,4,CCFH,411,Y,4756.837037,85
Lancaster,Soybean,2020,LAN_SB_20,4,CT,412,N,4946.935806,70
